,year,title_ru,libretto_ru,lyrics_ru,comment_ru,genre_ru,title_am,libretto_am,lyrics_am,comment_am,genre_am,title_en,libretto_en,lyrics_en,comment_en,genre_en
11,2004,Симфония №3,,,Симфонический оркестр,Симфония,Սիմֆոնիա №3,,,Սիմֆոնիկ նվագախումբ,Սիմֆոնիա,Symphony No. 3,,,Symphony orchestra,Symphony
12,2005,"Симфония №4 ""Гимн Всевышнему""",,,Симфонический оркестр,Симфония,Սիմֆոնիա №4 “Օրհներգ Բարձրյալին”,,,Սիմֆոնիկ նվագախումբ,Սիմֆոնիա,"Symphony No. 4 ""Hymn to the Highest""",,,Symphony orchestra,Symphony
13,2007,Симфония №5,,,Симфонический оркестр,Симфония,Սիմֆոնիա №5,,,Սիմֆոնիկ նվագախումբ,Սիմֆոնիա,Symphony No. 5,,,Symphony orchestra,Symphony
14,2009,"Симфония №6 ""Распятие""",,,Симфонический оркестр,Симфония,Սիմֆոնիա №6 “Խաչելություն”,,,Սիմֆոնիկ նվագախումբ,Սիմֆոնիա,"Symphony No. 6 ""Crucifixion""",,,Symphony orchestra,Symphony
15,2010,Симфония №7,,,Симфонический оркестр,Симфония,Սիմֆոնիա №7,,,Սիմֆոնիկ նվագախումբ,Սիմֆոնիա,Symphony No. 7,,,Symphony orchestra,Symphony
16,2011,Симфония №8,,Йохан Вольфганг Гёте,Симфонический оркестр и солист баритон. Слова Й.В. Гёте (в пер. О. Туманяна),Симфония,Սիմֆոնիա №8,,Յոհան Վոլֆգանգ Գյոթե,"Սիմֆոնիկ նվագախումբ և մեներգիչ բարիտոն։ Խոսք Գյոթեյի, թարգմանությունբ Հովհ. Թումանյանի",Սիմֆոնիա,Symphony No. 8,,Johann Wolfgang Goethe,"Symphony orchestra and baritone soloist. Lyrics by Johann Wolfgang Goethe, Hovhannes Tumanyan (trans.)",Symphony
17,2013,Симфония №9,,,"Симфонический оркестр, хор. Слова из армянской литургии",Симфония,Սիմֆոնիա №9,,,"Սիմֆոնիկ նվագախումբ, երգչախումբ։ Խոսքը՝ հայոց Պատարագից։",Սիմֆոնիա,Symphony No. 9,,,"Symphony orchestra, choir. Text from Armenian Liturgy",Symphony
18,2016,"Симфония №10 ""Детская""",,,Симфонический оркестр,Симфония,Սիմֆոնիա №10։ Մանկական,,,Սիմֆոնիկ նվագախումբ,Սիմֆոնիա,"Symphony No. 10 ""Children's""",,,Symphony orchestra,Symphony
19,1990,Камерная симфония №1,,,Камерный оркестр,Камерная симфония,Կամերային սիմֆոնիա №1,,,Կամերային նվագախումբ,Կամերային սիմֆոնիա,Chamber symphony No. 1,,,Chamber orchestra,Chamber symphony
20,2005,Камерная симфония №2,,,Камерный оркестр,Камерная симфония,Կամերային սիմֆոնիա №2,,,Կամերային նվագախումբ,Կամերային սիմֆոնիա,Chamber symphony No. 2,,,Chamber orchestra,Chamber symphony
21,2007,Камерная симфония №3,,,Камерный оркестр,Камерная симфония,Կամերային սիմֆոնիա №3,,,Կամերային նվագախումբ,Կամերային սիմֆոնիա,Chamber symphony No. 3,,,Chamber orchestra,Chamber symphony
22,1985,Концерт №1 для фортепиано и камерного оркестра,,,,Концерт,Կոնցերտ №1 դաշնամտրի և կամերային նվագախմբի համար,,,,Կոնցերտ,Concerto No. 1 for piano and chamber orchestra,,,,Concerto
23,1990,Концерт №2 для фортепиано и струнного оркестра,,,,Концерт,Կոնցերտ №2 դաշնամտրի և լարային նվագախմբի համար,,,,Կոնցերտ,Concerto No. 2 for piano and chamber orchestra,,,,Concerto
24,1991,Концерт №3 для фортепиано и камерного оркестра,,,,Концерт,Կոնցերտ №3 դաշնամտրի և կամերային նվագախմբի համար,,,,Կոնցերտ,Concerto No. 3 for piano and chamber orchestra,,,,Concerto
25,1993,Концерт №4 для фортепиано и симфонического оркестра,,,,Концерт,Կոնցերտ №4 դաշնամտրի և սիմֆոնիկ նվագախմբի համար,,,,Կոնցերտ,Concerto No. 4 for piano and chamber orchestra,,,,Concerto
26,1994,Концерт №1 для скрипки и камерного оркестра,,,,Концерт,Կոնցերտ №1 ջութակի և կամերային նվագախմբի համար,,,,Կոնցերտ,Concerto No. 1 for violin and chamber orchestra,,,,Concerto
27,2002,Концерт №2 для скрипки и симфонического оркестра,,,,Концерт,Կոնցերտ №2 ջութակի և սիմֆոնիկ նվագախմբի համար,,,,Կոնցերտ,Concerto No. 2 for violin and chamber orchestra,,,,Concerto
28,2017,Концерт №3 для скрипки и камерного оркестра,,,,Концерт,Կոնցերտ №3 ջութակի և կամերային նվագախմբի համար,,,,Կոնցերտ,Concerto No. 3 for violin and chamber orchestra,,,,Concerto
29,1995,Концерт для виолончели и камерного оркестра,,,,Концерт,Կոնցերտ թավջութակի և կամերային նվագախմբի համար,,,,Կոնցերտ,Concerto for cello and chamber orchestra,,,,Concerto
30,2016,Концерт №1 для органа и камерного оркестра,,,,Концерт,Կոնցերտ №1 երգեհոնի և կամերային նվագախմբի համար,,,,Կոնցերտ,Concerto No. 1 for pipe organ and chamber orchestra,,,,Concerto
31,2017,Концерт №2 для органа и камерного оркестра,,,,Концерт,Կոնցերտ №2 երգեհոնի և կամերային նվագախումբի համար,,,,Կոնցերտ,Concerto No. 2 for pipe organ and chamber orchestra,,,,Concerto
32,1995,Концерт для восьми инструментов,,,"Флейта, гобой, кларнет, фагот, валторна, клавесин, скрипка, виолончель",Концерт,Կոնցերտ ութ գործիքի համար,,,"ֆլեյտա, հոբոյ, կլարնետ, ֆագոտ, գալարափող, կլավեսին, ջութակ, թավջութակ",Կոնցերտ,Concerto for eight instruments,,,"Flute, oboe, clarinet, bassoon, French horn, harpsichord, violin, cello",Concerto
33,2002,Концерт для струнного оркестра,,,,Концерт,Կոնցերտ լարային նվագախումբի համար,,,,Կոնցերտ,Concerto for String Orchestra,,,,Concerto
34,1990,"Реквием для женского хора, солистки сопрано и камерного оркестра",,Аветик Исаакяна,,Камерные сочинения,"Ռեքվիեմ կանանց երգչախմբի, մեներգչուհի սոպրանոյի և կամերային նվագախումբի համար",,Ավետիք Իսահակյան,,կամերային երկեր,"Requiem for Female Choir, Soprano Soloist, and Chamber Orchestra",,Ավետիք,,
35,1990,Шутка для женского хора и камерного оркестра,,,Без слов,Камерные сочинения,,,,Ան խոսք,կամերային երկեր,,,,,
36,1995,"Камерная кантата №1 ""Из глубин сердца""",,,"По ""Книге скорбных песнопений"" Г. Нарекаци.",Камерные кантаты,Կամերային կանտատ №1 «Ի խորոց սրտի»,,,ըստ Գր. Նարեկացու «Մատյան Ողբերգություն»,Կամերային կանտատ,,,,,
37,1996,"Камерная кантата №2 ""Аллилуйя""",,,На слова из армянской Литургии,Камерные кантаты,Կամերային կանտատ №2 «Ալելույա»,,,հայկական Պատարագի խոսքերով,Կամերային կանտատ,,,,,
38,1998,Камерная кантата №3,,Мисак Мецаренц,,Камерные кантаты,Կամերային կանտատ №3,,Միսաք Մեծարենց,,Կամերային կանտատ,,,,,
39,1990,"""Високосный год"" для симфонического оркестра",,,,Симфонические вариации,«Նահանջ տարի» սիմֆոնիկ նվագախմբի համար,,,,???,,,,,
40,1996,"""Элегия"" для симфонического оркестра",,,,???,«Եղերերգ» սիմֆոնիկ նվագախմբի համար,,,,???,,,,,
41,2000,Adagio для симфонического оркестра,,,,???,Adagio սիմֆոնիկ նվագախմբի համար,,,,???,,,,,
42,2000,Presto для симфонического оркестра,,,,???,Presto սիմֆոնիկ նվագախմբի համար,,,,???,,,,,
43,2000,Прелюдия и фуга для симфонического оркестра,,,,???,Պրելյուդ և ֆուգա սիմֆոնիկ նվագախմբի համար,,,,???,,,,,
44,2006,Пассакалья и фуга для симфонического оркестра,,,,???,Պասսակալիա և ֆուգա սիմֆոնիկ նվագախմբի համար,,,,???,,,,,
45,2011,Псалом для симфонического оркестра,,,,???,«Սաղմոս» սիմֆոնիկ նվագախմբի համար,,,,???,,,,,
46,2012,Пассакалья для симфонического оркестра,,,,???,Պասսակալիա սիմֆոնիկ նվագախմբի համար,,,,???,,,,,
47,2015,Чакона для симфонического оркестра,,,,???,«Չակոնա» սիմֆոնիկ նվագախմբի համար,,,,???,,,,,
48,2015,Псалом для хора и симфонического оркестра,,,По 23 псалму Давида. Номер псалма указан в соответствии с армянской нумерацией псалмов. В русскоязычной Псалтири ему соответствует 22 псалом.,Камерные сочинения,«Սաղմոս» ըստ Դավթի №23 սաղմոսի երգչախմբի և սիմֆոնիկ նվագախմբի համար,,,,կամերային երկեր,,,,,
49,2017,Пассакалья и фуга №2 для симфонического оркестра,,,,,Պասսակալիա և ֆուգա №2 սիմֆոնիկ նվագախմբի համար,,,,,,,,,
50,1996,"""Элегия"" для флейты (или скрипки) и струнного оркестра",,,Для флейты (или скрипки) и струнного оркестра,Камерные сочинения,«Եղերերգ» ֆլեյտայի (կամ ջութակի) և լարային նվագախմբի համար,,,,կամերային երկեր,,,,,
51,2005,Многоточие,,,Для струнного оркестра,Камерные сочинения,,,,,կամերային երկեր,,,,,
52,2006,Грешен,,,Для струнного оркестра,Камерные сочинения,,,,,կամերային երկեր,,,,,
53,2007,Largo,,,Для виолончели и струнного оркестра,Камерные сочинения,,,,,կամերային երկեր,,,,,
54,2007,Тихая молитва к Богоматери,,,Для струнного оркестра,Камерные сочинения,,,,,կամերային երկեր,,,,,
55,2008,Пять духовных прелюдий и фуг,,,Для струнного оркестра,Камерные сочинения,,,,,կամերային երկեր,,,,,
56,2004,"Квинтет для флейты, кларнета, скрипки, виолончели и фортепиано",,,,,,,,,,,,,,
57,1993,Струнный квартет №1,,,,,,,,,,,,,,
58,1997,Струнный квартет №2,,,,,,,,,,,,,,
59,1999,Трио для двух виолончелей и фортепиано,,,,,,,,,,,,,,
60,2006,"Трио для скрипки, виолончели и фортепиано",,,,,,,,,,,,,,
61,2010,Соната для флейты и фортепиано,,,,Сонаты,,,,,,,,,,
62,2005,Соната для скрипки и фортепиано,,,,Сонаты,,,,,,,,,,
63,2006,Соната для виолончели и фортепиано,,,,Сонаты,,,,,,,,,,
64,1992,Соната №1 для фортепиано,,,,Сонаты,,,,,,,,,,
65,2007,Соната №2 для фортепиано,,,,Сонаты,,,,,,,,,,
66,1999,Малая соната для фортепиано,,,,Сонаты,,,,,,,,,,
67,2001,Вокализ №1 для сопрано и инструментального ансамбля,,,,,,,,,,,,,,
68,2002,Andante для инструментального ансамбля,,,,,,,,,,,,,,
69,2002,Колыбельная с гимном для инструментального ансамбля,,,,,,,,,,,,,,
70,2009,Mysticos для инструментального ансамбля,,,,,,,,,,,,,,
71,2011,Эта странная музыка A.D.Es для инструментального ансамбля,,,,,,,,,,,,,,
72,2014,К Алле для инструментального ансамбля,,,,,,,,,,,,,,
73,2015,Воплощение для инструментального ансамбля,,,,,,,,,,,,,,
74,2016,Молитва Богородице для Мариамик для инструментального ансамбля,,,,,,,,,,,,,,
75,1994,Семь китайских мелодий,,,для инструментального ансамбля,,,,,,,,,,,
76,2011,Две армянские мелодии,,,для сантура соло и инструментального ансамбля,,,,,,,,,,,
77,2006,Четыре армянские народные песни,,,для сопрано и инструментального ансамбля,,,,,,,,,,,
78,2008,"Фортепианная пьеса Э. Мирзояна ""Грустный вальс""",,,обработка для инструментального ансамбля,,,,,,,,,,,
79,2003,Трагическая фуга,,,для органа,,,,,,,,,,,
80,2015,Прелюдия и фуга для органа,,,,,,,,,,,,,,
81,2012,Две прелюдии и фуги для виолончели и фортепиано,,,,,,,,,,,,,,
82,2009,Восемь молитв,,,для фортепиано,,,,,,,,,,,
83,2009,Грустные мелодии многогрешного,,,Десять пьес для фортепиано,,,,,,,,,,,
84,2011,Простая музыка,,,Десять пьес для фортепиано,,,,,,,,,,,
85,2011,Три этюда для фортепиано,,,,,,,,,,,,,,
86,1996,Токката для фортепиано,,,,,,,,,,,,,,
87,1997,Два романса для сопрано и фортепиано,,,,,,,,,,,,,,
88,1997,Тишина взглядов твоих,,С. Ерканян,романс для сопрано и фортепиано,,,,,,,,,,,
89,1997,Псалом,,,Для меццо-сопрано и фортепиано. По псалму №22 Давида (в варианте Септуагинты - псалом №21),,,,,,,,,,,
90,2005,Две песни,,А. Латоян,Для сопрано и фортепиано,,,,,,,,,,,
91,2007,Вокализ для баса и фортепиано,,,,,,,,,,,,,,
92,2010,Роза,,И.В. Гете в переводе О. Туманяна,Романс для баритона и фортепиано,Романс,,,,,,,,,,
93,2001,Для меццо-сопрано и фортепиано. По псалму №12 Давида (в варианте Септуагинты - псалом №11),,,,,,,,,,,,,,
94,2000,Элегия,,без слов,Для детского хора,,,,,,,,,,,
95,2008,Токката,,без слов,Для детского хора,,,,,,,,,,,
96,2008,Отче наш,,,Для смешанного хора,,,,,,,,,,,
97,2009,Токката,,без слов,Для смешанного хора,,,,,,,,,,,
98,2018,Трио для двух фортепиано и виолончели,,,,Камерные сочинения,Տրիո երկու դաշնամուրի և թավջութակի համար,,,,կամերային երկեր,,,,,
